latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-9.898,19.14,305.9,2.4,1.5,2015-08-05, 0040,A,39,5.0,290.3,42.1
-9.901,19.161,311.6,2.4,1.5,2015-08-05, 0040,A,76,5.0,290.8,62
-9.909,19.155,319.4,2.4,1.5,2015-08-05, 0040,A,98,5.0,291.3,95.2
-11.23,14.687,308.7,1.2,1.1,2015-08-05, 0040,A,62,5.0,288.2,20.7
-11.232,14.697,310.7,1.2,1.1,2015-08-05, 0040,A,72,5.0,288.6,23.4
-11.348,14.872,322.8,1.3,1.1,2015-08-05, 0040,A,100,5.0,290.7,43.4
-12.152,14.795,306.5,1.3,1.1,2015-08-05, 0040,A,46,5.0,290.4,17.3
-12.151,14.788,306.5,1.3,1.1,2015-08-05, 0040,A,46,5.0,289.9,17.8
-12.226,14.741,309.5,1.3,1.1,2015-08-05, 0040,A,67,5.0,289.6,21.9
-12.746,14.742,308.8,1.3,1.1,2015-08-05, 0040,A,63,5.0,286.5,23.1
-13.199,14.783,324.9,1.3,1.1,2015-08-05, 0040,A,100,5.0,288.8,49.2
-13.201,14.794,322.5,1.3,1.1,2015-08-05, 0040,A,100,5.0,289.1,44.2
-14.348,14.083,308.1,1.2,1.1,2015-08-05, 0040,A,18,5.0,293.9,15.2
-14.391,14.094,308.4,1.2,1.1,2015-08-05, 0040,A,60,5.0,290.3,17.6
-14.72,13.739,306.4,1.2,1.1,2015-08-05, 0040,A,45,5.0,289.9,16.3
48.903,28.439,318.8,1,1,2015-08-05, 0025,A,97,5.0,286.2,27.4
48.901,28.452,308.7,1,1,2015-08-05, 0025,A,62,5.0,286,16.6
46.491,34.301,312.4,1.9,1.3,2015-08-05, 0025,A,79,5.0,289.7,45
43.692,23.318,318.4,1,1,2015-08-05, 0025,A,96,5.0,290.8,25.7
43.62,23.367,307.2,1,1,2015-08-05, 0025,A,52,5.0,290.5,13.1
